	r_spotId	관광지명	area_code	Unnamed: 0	date	avgTemp	highTemp	lowTemp	rainProb	weather	datetime	month	weekday	season
205	23	고내포구	7	70	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
206	23	고내포구	7	71	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
207	24	고성오일시장	2	18	2023-11-14	12.0	13	11	30	4	2023-11-14	November	1	fall
208	24	고성오일시장	2	19	2023-11-15	12.625	15	11	20	4	2023-11-15	November	2	fall
209	24	고성오일시장	2	20	2023-11-16	13.291666666666666	17	10	72	4	2023-11-16	November	3	fall
210	24	고성오일시장	2	21	2023-11-17	11.083333333333334	12	10	60	4	2023-11-17	November	4	fall
211	24	고성오일시장	2	22	2023-11-18	10.5	14	7	40	1	2023-11-18	November	5	fall
212	24	고성오일시장	2	23	2023-11-19	13.0	18	8	20	1	2023-11-19	November	6	fall
213	24	고성오일시장	2	24	2023-11-20	12.5	16	9	10	1	2023-11-20	November	0	fall
214	24	고성오일시장	2	25	2023-11-22	14.0	18	10	20	1	2023-11-22	November	2	fall
215	24	고성오일시장	2	26	2023-11-23	13.0	16	10	40	4	2023-11-23	November	3	fall
216	25	고스트타운	7	63	2023-11-14	11.76923076923077	13	10	30	4	2023-11-14	November	1	fall
217	25	고스트타운	7	64	2023-11-15	11.791666666666666	15	9	30	4	2023-11-15	November	2	fall
218	25	고스트타운	7	65	2023-11-16	12.5	17	10	73	4	2023-11-16	November	3	fall
219	25	고스트타운	7	66	2023-11-17	10.5	12	10	60	4	2023-11-17	November	4	fall
220	25	고스트타운	7	67	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
221	25	고스트타운	7	68	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
222	25	고스트타운	7	69	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
223	25	고스트타운	7	70	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
224	25	고스트타운	7	71	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
225	26	고흐의정원	2	18	2023-11-14	12.0	13	11	30	4	2023-11-14	November	1	fall
226	26	고흐의정원	2	19	2023-11-15	12.625	15	11	20	4	2023-11-15	November	2	fall
227	26	고흐의정원	2	20	2023-11-16	13.291666666666666	17	10	72	4	2023-11-16	November	3	fall
228	26	고흐의정원	2	21	2023-11-17	11.083333333333334	12	10	60	4	2023-11-17	November	4	fall
229	26	고흐의정원	2	22	2023-11-18	10.5	14	7	40	1	2023-11-18	November	5	fall
230	26	고흐의정원	2	23	2023-11-19	13.0	18	8	20	1	2023-11-19	November	6	fall
231	26	고흐의정원	2	24	2023-11-20	12.5	16	9	10	1	2023-11-20	November	0	fall
232	26	고흐의정원	2	25	2023-11-22	14.0	18	10	20	1	2023-11-22	November	2	fall
233	26	고흐의정원	2	26	2023-11-23	13.0	16	10	40	4	2023-11-23	November	3	fall
234	27	곽지해수욕장	7	63	2023-11-14	11.76923076923077	13	10	30	4	2023-11-14	November	1	fall
235	27	곽지해수욕장	7	64	2023-11-15	11.791666666666666	15	9	30	4	2023-11-15	November	2	fall
236	27	곽지해수욕장	7	65	2023-11-16	12.5	17	10	73	4	2023-11-16	November	3	fall
237	27	곽지해수욕장	7	66	2023-11-17	10.5	12	10	60	4	2023-11-17	November	4	fall
238	27	곽지해수욕장	7	67	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
239	27	곽지해수욕장	7	68	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
240	27	곽지해수욕장	7	69	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
241	27	곽지해수욕장	7	70	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
242	27	곽지해수욕장	7	71	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
243	28	관덕정	11	99	2023-11-14	12.615384615384617	14	12	30	4	2023-11-14	November	1	fall
244	28	관덕정	11	100	2023-11-15	13.125	16	11	20	4	2023-11-15	November	2	fall
245	28	관덕정	11	101	2023-11-16	13.375	17	11	75	4	2023-11-16	November	3	fall
246	28	관덕정	11	102	2023-11-17	10.833333333333334	12	9	60	4	2023-11-17	November	4	fall
247	28	관덕정	11	103	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
248	28	관덕정	11	104	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
249	28	관덕정	11	105	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
250	28	관덕정	11	106	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
251	28	관덕정	11	107	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
252	29	관음사	11	99	2023-11-14	12.615384615384617	14	12	30	4	2023-11-14	November	1	fall
253	29	관음사	11	100	2023-11-15	13.125	16	11	20	4	2023-11-15	November	2	fall
254	29	관음사	11	101	2023-11-16	13.375	17	11	75	4	2023-11-16	November	3	fall
255	29	관음사	11	102	2023-11-17	10.833333333333334	12	9	60	4	2023-11-17	November	4	fall
256	29	관음사	11	103	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
257	29	관음사	11	104	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
258	29	관음사	11	105	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
259	29	관음사	11	106	2023-11-22	14.0	17	11	20	1	2023-11-22	November	2	fall
260	29	관음사	11	107	2023-11-23	12.5	15	10	40	4	2023-11-23	November	3	fall
261	30	광치기해변	2	18	2023-11-14	12.0	13	11	30	4	2023-11-14	November	1	fall
262	30	광치기해변	2	19	2023-11-15	12.625	15	11	20	4	2023-11-15	November	2	fall
263	30	광치기해변	2	20	2023-11-16	13.291666666666666	17	10	72	4	2023-11-16	November	3	fall
264	30	광치기해변	2	21	2023-11-17	11.083333333333334	12	10	60	4	2023-11-17	November	4	fall
265	30	광치기해변	2	22	2023-11-18	10.5	14	7	40	1	2023-11-18	November	5	fall
266	30	광치기해변	2	23	2023-11-19	13.0	18	8	20	1	2023-11-19	November	6	fall
267	30	광치기해변	2	24	2023-11-20	12.5	16	9	10	1	2023-11-20	November	0	fall
268	30	광치기해변	2	25	2023-11-22	14.0	18	10	20	1	2023-11-22	November	2	fall
269	30	광치기해변	2	26	2023-11-23	13.0	16	10	40	4	2023-11-23	November	3	fall
270	31	교래자연휴양림	8	72	2023-11-14	12.153846153846152	13	11	30	4	2023-11-14	November	1	fall
271	31	교래자연휴양림	8	73	2023-11-15	12.5	15	11	20	4	2023-11-15	November	2	fall
272	31	교래자연휴양림	8	74	2023-11-16	13.0	16	11	72	4	2023-11-16	November	3	fall
273	31	교래자연휴양림	8	75	2023-11-17	10.833333333333334	12	10	60	4	2023-11-17	November	4	fall
274	31	교래자연휴양림	8	76	2023-11-18	11.5	14	9	40	1	2023-11-18	November	5	fall
275	31	교래자연휴양림	8	77	2023-11-19	15.0	18	12	20	1	2023-11-19	November	6	fall
276	31	교래자연휴양림	8	78	2023-11-20	13.5	16	11	10	1	2023-11-20	November	0	fall
